"","state","Date","C1_School.closing","C2_Workplace.closing","C6_Stay.at.home.requirements","new.cases","new.deaths","period"
"1102","Alaska",20201028,3,2,2,1269,19,1
"1902","Alabama",20201028,2,2,2,354,1,1
"2702","Arkansas",20201028,1,3,1,1101,15,1
"3502","Arizona",20201028,2,2,1,961,18,1
"4302","California",20201028,3,3,2,4050,63,1
"5102","Colorado",20201028,2,3,2,1503,12,1
"5902","Connecticut",20201028,2,3,2,490,9,1
"6702","Washington DC",20201028,2,3,1,143,2,1
"7502","Delaware",20201028,2,3,2,67,0,1
"8302","Florida",20201028,1,2,3,4115,66,1
"9102","Georgia",20201028,2,2,3,1628,31,1
"9902","Hawaii",20201028,2,3,3,55,-2,1
"10702","Iowa",20201028,2,1,1,915,12,1
"11502","Idaho",20201028,1,3,1,6116,52,1
"12302","Illinois",20201028,2,2,2,2570,33,1
"13102","Indiana",20201028,2,2,1,2059,11,1
"13902","Kansas",20201028,2,1,1,2724,28,1
"14702","Kentucky",20201028,2,2,1,1985,16,1
"15502","Louisiana",20201028,2,3,2,1098,18,1
"16302","Massachusetts",20201028,2,3,2,76,0,1
"17102","Maryland",20201028,2,2,1,681,7,1
"17902","Maine",20201028,1,3,2,1181,36,1
"18702","Michigan",20201028,2,2,2,3534,21,1
"19502","Minnesota",20201028,2,2,1,1908,19,1
"20302","Missouri",20201028,2,2,2,1000,19,1
"21102","Mississippi",20201028,1,2,2,2420,28,1
"21902","Montana",20201028,1,2,3,629,17,1
"22702","North Carolina",20201028,2,3,2,1130,8,1
"23502","North Dakota",20201028,2,2,1,686,10,1
"24302","Nebraska",20201028,1,1,1,111,3,1
"25102","New Hampshire",20201028,2,2,2,1670,18,1
"25902","New Jersey",20201028,2,3,2,657,11,1
"26702","New Mexico",20201028,2,3,2,2029,15,1
"27502","Nevada",20201028,2,2,1,2232,39,1
"28302","New York",20201028,2,3,2,777,12,1
"29102","Ohio",20201028,2,2,2,2607,17,1
"29902","Oklahoma",20201028,2,1,2,743,13,1
"30702","Oregon",20201028,2,3,1,407,8,1
"31502","Pennsylvania",20201028,2,2,1,2332,29,1
"32302","Rhode Island",20201028,2,3,2,499,4,1
"33102","South Carolina",20201028,2,2,2,912,34,1
"33902","South Dakota",20201028,1,3,2,1270,9,1
"34702","Tennessee",20201028,2,2,2,2581,33,1
"35502","Texas",20201028,1,3,2,7770,96,1
"36302","Utah",20201028,2,2,1,1617,9,1
"37102","Virginia",20201028,2,2,2,7,0,1
"37902","Vermont",20201028,2,2,2,1345,16,1
"38702","Washington",20201028,2,3,2,899,16,1
"39502","Wisconsin",20201028,2,2,2,358,4,1
"40302","West Virginia",20201028,2,1,2,4131,57,1
"41102","Wyoming",20201028,2,2,1,340,0,1
"1116","Alaska",20201111,3,2,2,2070,81,2
"1916","Alabama",20201111,2,2,2,496,3,2
"2716","Arkansas",20201111,2,3,2,1750,30,2
"3516","Arizona",20201111,2,2,1,1962,14,2
"4316","California",20201111,3,3,2,5150,36,2
"5116","Colorado",20201111,2,3,2,4307,12,2
"5916","Connecticut",20201111,2,3,2,1754,9,2
"6716","Washington DC",20201111,2,3,1,230,2,2
"7516","Delaware",20201111,2,3,2,206,0,2
"8316","Florida",20201111,1,2,3,5838,52,2
"9116","Georgia",20201111,2,2,3,2271,75,2
"9916","Hawaii",20201111,2,3,3,116,0,2
"10716","Iowa",20201111,2,2,1,1526,18,2
"11516","Idaho",20201111,1,3,1,12384,147,2
"12316","Illinois",20201111,2,2,2,5041,31,2
"13116","Indiana",20201111,2,2,1,4630,29,2
"13916","Kansas",20201111,2,2,1,5217,34,2
"14716","Kentucky",20201111,2,2,1,2836,15,2
"15516","Louisiana",20201111,2,3,2,0,0,2
"16316","Massachusetts",20201111,2,3,2,142,2,2
"17116","Maryland",20201111,2,3,1,1687,16,2
"17916","Maine",20201111,1,3,2,2660,21,2
"18716","Michigan",20201111,2,2,2,6494,42,2
"19516","Minnesota",20201111,2,2,2,4891,58,2
"20316","Missouri",20201111,2,2,2,1256,17,2
"21116","Mississippi",20201111,1,2,2,3631,36,2
"21916","Montana",20201111,2,2,3,913,7,2
"22716","North Carolina",20201111,2,3,2,2234,0,2
"23516","North Dakota",20201111,2,2,1,1254,14,2
"24316","Nebraska",20201111,1,1,1,229,3,2
"25116","New Hampshire",20201111,2,2,2,3065,15,2
"25916","New Jersey",20201111,2,2,2,1487,14,2
"26716","New Mexico",20201111,2,3,2,4821,25,2
"27516","Nevada",20201111,2,2,1,2636,38,2
"28316","New York",20201111,2,3,2,1021,12,2
"29116","Ohio",20201111,2,2,2,5874,76,2
"29916","Oklahoma",20201111,2,1,2,2177,19,2
"30716","Oregon",20201111,2,3,1,861,5,2
"31516","Pennsylvania",20201111,2,2,1,4098,61,2
"32316","Rhode Island",20201111,2,3,3,978,6,2
"33116","South Carolina",20201111,2,2,2,1257,14,2
"33916","South Dakota",20201111,1,1,1,1362,27,2
"34716","Tennessee",20201111,2,2,2,3586,88,2
"35516","Texas",20201111,2,3,3,12857,121,2
"36316","Utah",20201111,2,2,1,2292,6,2
"37116","Virginia",20201111,2,2,2,73,0,2
"37916","Vermont",20201111,2,2,2,1594,15,2
"38716","Washington",20201111,2,3,2,795,1,2
"39516","Wisconsin",20201111,2,2,2,885,7,2
"40316","West Virginia",20201111,2,1,2,7487,65,2
"41116","Wyoming",20201111,2,2,1,132,0,2
"1130","Alaska",20201125,3,2,2,2453,60,3
"1930","Alabama",20201125,2,2,2,678,0,3
"2730","Arkansas",20201125,2,2,2,3784,14,3
"3530","Arizona",20201125,2,2,1,1965,20,3
"4330","California",20201125,3,3,3,14144,107,3
"5130","Colorado",20201125,2,3,2,4534,62,3
"5930","Connecticut",20201125,2,3,2,1872,45,3
"6730","Washington DC",20201125,1,3,1,331,3,3
"7530","Delaware",20201125,2,3,2,107,4,3
"8330","Florida",20201125,1,2,3,8376,97,3
"9130","Georgia",20201125,2,2,3,3296,75,3
"9930","Hawaii",20201125,2,3,2,100,2,3
"10730","Iowa",20201125,2,2,1,1419,20,3
"11530","Idaho",20201125,2,3,2,11312,171,3
"12330","Illinois",20201125,2,2,3,5994,63,3
"13130","Indiana",20201125,2,2,1,3502,41,3
"13930","Kansas",20201125,2,2,1,5243,47,3
"14730","Kentucky",20201125,2,2,1,3344,37,3
"15530","Louisiana",20201125,2,2,2,1235,27,3
"16330","Massachusetts",20201125,2,3,2,228,1,3
"17130","Maryland",20201125,2,3,1,2697,37,3
"17930","Maine",20201125,1,2,2,3395,53,3
"18730","Michigan",20201125,2,3,2,4905,74,3
"19530","Minnesota",20201125,2,3,2,6390,75,3
"20330","Missouri",20201125,2,2,3,1092,16,3
"21130","Mississippi",20201125,2,2,2,4588,39,3
"21930","Montana",20201125,2,2,2,1061,23,3
"22730","North Carolina",20201125,2,3,2,2530,23,3
"23530","North Dakota",20201125,2,2,1,2379,24,3
"24330","Nebraska",20201125,1,1,2,394,1,3
"25130","New Hampshire",20201125,2,2,2,4059,67,3
"25930","New Jersey",20201125,2,2,3,1855,21,3
"26730","New Mexico",20201125,2,3,2,6267,43,3
"27530","Nevada",20201125,2,3,1,4536,63,3
"28330","New York",20201125,2,3,2,1077,4,3
"29130","Ohio",20201125,2,2,3,10835,156,3
"29930","Oklahoma",20201125,2,1,2,3732,16,3
"30730","Oregon",20201125,2,3,2,1167,23,3
"31530","Pennsylvania",20201125,2,2,2,6956,148,3
"32330","Rhode Island",20201125,2,3,3,893,10,3
"33130","South Carolina",20201125,2,2,2,1675,4,3
"33930","South Dakota",20201125,2,1,1,1283,28,3
"34730","Tennessee",20201125,2,2,2,2397,90,3
"35530","Texas",20201125,2,3,2,14917,198,3
"36330","Utah",20201125,2,2,1,1839,24,3
"37130","Virginia",20201125,2,2,2,65,0,3
"37930","Vermont",20201125,2,3,2,2718,29,3
"38730","Washington",20201125,2,3,2,2973,18,3
"39530","Wisconsin",20201125,2,2,2,967,13,3
"40330","West Virginia",20201125,2,1,2,6002,68,3
"41130","Wyoming",20201125,2,2,1,802,13,3
"1144","Alaska",20201209,3,3,2,3522,43,4
"1944","Alabama",20201209,2,2,2,587,4,4
"2744","Arkansas",20201209,2,2,2,4579,96,4
"3544","Arizona",20201209,2,2,1,2327,34,4
"4344","California",20201209,3,3,3,31772,228,4
"5144","Colorado",20201209,2,3,2,3973,163,4
"5944","Connecticut",20201209,2,3,2,2290,43,4
"6744","Washington DC",20201209,1,3,1,929,0,4
"7544","Delaware",20201209,2,3,2,265,3,4
"8344","Florida",20201209,2,2,3,9592,84,4
"9144","Georgia",20201209,2,2,3,5741,48,4
"9944","Hawaii",20201209,2,3,3,73,4,4
"10744","Iowa",20201209,2,2,1,2266,43,4
"11544","Idaho",20201209,2,3,2,8196,229,4
"12344","Illinois",20201209,2,2,3,5770,96,4
"13144","Indiana",20201209,2,2,1,2545,102,4
"13944","Kansas",20201209,2,2,1,5624,85,4
"14744","Kentucky",20201209,2,2,1,2765,31,4
"15544","Louisiana",20201209,2,2,2,4352,32,4
"16344","Massachusetts",20201209,2,2,2,405,7,4
"17144","Maryland",20201209,2,3,1,2692,46,4
"17944","Maine",20201209,1,2,2,5965,90,4
"18744","Michigan",20201209,2,3,2,5308,79,4
"19544","Minnesota",20201209,2,3,2,4516,82,4
"20344","Missouri",20201209,2,2,3,2746,24,4
"21144","Mississippi",20201209,2,2,2,2885,46,4
"21944","Montana",20201209,1,2,3,726,8,4
"22744","North Carolina",20201209,2,3,2,1427,16,4
"23544","North Dakota",20201209,2,2,1,2624,27,4
"24344","Nebraska",20201209,1,1,3,969,4,4
"25144","New Hampshire",20201209,2,2,2,4463,116,4
"25944","New Jersey",20201209,2,2,2,1759,34,4
"26744","New Mexico",20201209,2,3,2,10937,76,4
"27544","Nevada",20201209,2,3,1,7620,62,4
"28344","New York",20201209,2,3,2,461,17,4
"29144","Ohio",20201209,2,2,3,10094,84,4
"29944","Oklahoma",20201209,2,1,2,2307,23,4
"30744","Oregon",20201209,2,3,2,1226,30,4
"31544","Pennsylvania",20201209,2,3,2,8626,247,4
"32344","Rhode Island",20201209,2,3,2,1232,14,4
"33144","South Carolina",20201209,2,2,2,2490,27,4
"33944","South Dakota",20201209,1,1,1,985,36,4
"34744","Tennessee",20201209,2,2,2,7894,62,4
"35544","Texas",20201209,2,3,2,15267,288,4
"36344","Utah",20201209,2,2,1,2574,23,4
"37144","Virginia",20201209,2,2,2,105,1,4
"37944","Vermont",20201209,2,3,2,4398,21,4
"38744","Washington",20201209,2,3,2,3185,44,4
"39544","Wisconsin",20201209,2,2,2,1402,31,4
"40344","West Virginia",20201209,2,1,2,4171,90,4
"41144","Wyoming",20201209,2,2,1,410,19,4
"1172","Alaska",20210106,3,2,2,4591,108,5
"1972","Alabama",20210106,2,2,2,334,2,5
"2772","Arkansas",20210106,2,3,1,6947,113,5
"3572","Arizona",20210106,2,3,1,3705,65,5
"4372","California",20210106,3,3,3,36907,554,5
"5172","Colorado",20210106,2,3,2,2077,22,5
"5972","Connecticut",20210106,2,3,2,2486,38,5
"6772","Washington DC",20210106,1,3,2,629,0,5
"7572","Delaware",20210106,2,3,2,316,5,5
"8372","Florida",20210106,2,2,3,17783,129,5
"9172","Georgia",20210106,2,2,3,7388,89,5
"9972","Hawaii",20210106,2,3,3,126,10,5
"10772","Iowa",20210106,2,2,1,1188,21,5
"11572","Idaho",20210106,2,2,2,7444,169,5
"12372","Illinois",20210106,2,2,2,6151,80,5
"13172","Indiana",20210106,2,2,1,2478,61,5
"13972","Kansas",20210106,2,2,1,5288,130,5
"14772","Kentucky",20210106,2,2,1,5447,42,5
"15572","Louisiana",20210106,2,3,2,6876,46,5
"16372","Massachusetts",20210106,2,3,2,525,3,5
"17172","Maryland",20210106,2,3,1,3152,50,5
"17972","Maine",20210106,1,2,2,6851,102,5
"18772","Michigan",20210106,2,3,2,4599,59,5
"19572","Minnesota",20210106,2,2,2,2335,76,5
"20372","Missouri",20210106,2,2,3,2791,38,5
"21172","Mississippi",20210106,2,2,2,2857,44,5
"21972","Montana",20210106,1,2,3,626,9,5
"22772","North Carolina",20210106,2,3,3,1558,9,5
"23572","North Dakota",20210106,2,2,1,2065,55,5
"24372","Nebraska",20210106,1,1,2,846,24,5
"25172","New Hampshire",20210106,2,2,2,5852,141,5
"25972","New Jersey",20210106,2,2,2,1485,47,5
"26772","New Mexico",20210106,2,3,2,16016,171,5
"27572","Nevada",20210106,2,2,1,6385,69,5
"28372","New York",20210106,2,3,2,338,5,5
"29172","Ohio",20210106,2,2,3,7814,121,5
"29972","Oklahoma",20210106,2,1,2,3305,62,5
"30772","Oregon",20210106,2,3,2,735,21,5
"31572","Pennsylvania",20210106,2,2,2,9402,377,5
"32372","Rhode Island",20210106,2,3,2,1611,20,5
"33172","South Carolina",20210106,2,2,2,5162,84,5
"33972","South Dakota",20210106,1,1,1,608,6,5
"34772","Tennessee",20210106,2,3,2,7950,112,5
"35572","Texas",20210106,2,3,2,25322,329,5
"36372","Utah",20210106,2,1,1,3769,19,5
"37172","Virginia",20210106,2,2,3,120,3,5
"37972","Vermont",20210106,2,3,2,5387,35,5
"38772","Washington",20210106,2,3,2,2077,70,5
"39572","Wisconsin",20210106,2,2,2,1516,39,5
"40372","West Virginia",20210106,2,1,2,4109,72,5
"41172","Wyoming",20210106,1,2,1,321,0,5
"1186","Alaska",20210120,2,2,2,3112,157,6
"1986","Alabama",20210120,2,2,2,167,23,6
"2786","Arkansas",20210120,2,3,1,7678,298,6
"3586","Arizona",20210120,2,3,1,2520,55,6
"4386","California",20210120,3,3,3,19329,611,6
"5186","Colorado",20210120,2,2,3,1415,36,6
"5986","Connecticut",20210120,2,3,2,1915,44,6
"6786","Washington DC",20210120,1,3,2,464,5,6
"7586","Delaware",20210120,2,3,2,144,2,6
"8386","Florida",20210120,2,2,3,11914,142,6
"9186","Georgia",20210120,2,2,3,7946,194,6
"9986","Hawaii",20210120,2,3,3,68,1,6
"10786","Iowa",20210120,3,2,1,676,-2,6
"11586","Idaho",20210120,1,2,2,4827,131,6
"12386","Illinois",20210120,2,2,2,2886,63,6
"13186","Indiana",20210120,2,2,1,1485,62,6
"13986","Kansas",20210120,2,2,1,3524,58,6
"14786","Kentucky",20210120,2,2,1,3441,51,6
"15586","Louisiana",20210120,2,3,2,2493,59,6
"16386","Massachusetts",20210120,2,3,2,701,11,6
"17186","Maryland",20210120,2,3,1,2168,39,6
"17986","Maine",20210120,1,2,2,4514,80,6
"18786","Michigan",20210120,2,3,1,2415,35,6
"19586","Minnesota",20210120,2,2,2,1224,34,6
"20386","Missouri",20210120,1,2,3,1702,64,6
"21186","Mississippi",20210120,2,2,2,2060,196,6
"21986","Montana",20210120,2,2,3,397,1,6
"22786","North Carolina",20210120,2,3,3,1969,22,6
"23586","North Dakota",20210120,1,1,1,1005,75,6
"24386","Nebraska",20210120,1,1,2,728,12,6
"25186","New Hampshire",20210120,2,2,2,5439,155,6
"25986","New Jersey",20210120,2,2,2,881,34,6
"26786","New Mexico",20210120,2,3,2,11119,215,6
"27586","Nevada",20210120,2,2,1,7789,71,6
"28386","New York",20210120,2,3,2,151,1,6
"29186","Ohio",20210120,2,2,3,6378,73,6
"29986","Oklahoma",20210120,2,1,2,1986,48,6
"30786","Oregon",20210120,2,3,2,675,25,6
"31586","Pennsylvania",20210120,2,2,2,5674,401,6
"32386","Rhode Island",20210120,1,3,2,810,13,6
"33186","South Carolina",20210120,2,2,2,5525,69,6
"33986","South Dakota",20210120,1,1,1,277,0,6
"34786","Tennessee",20210120,2,3,2,4026,86,6
"35586","Texas",20210120,2,3,2,28007,456,6
"36386","Utah",20210120,2,1,1,2159,11,6
"37186","Virginia",20210120,2,2,3,150,2,6
"37986","Vermont",20210120,2,3,2,4515,63,6
"38786","Washington",20210120,2,3,2,1968,1,6
"39586","Wisconsin",20210120,2,2,2,857,21,6
"40386","West Virginia",20210120,2,1,2,1851,62,6
"41186","Wyoming",20210120,1,2,1,202,0,6
"1200","Alaska",20210203,2,2,2,2118,309,7
"2000","Alabama",20210203,2,2,2,224,0,7
"2800","Arkansas",20210203,2,3,1,2852,178,7
"3600","Arizona",20210203,2,3,1,2426,46,7
"4400","California",20210203,3,3,2,12560,576,7
"5200","Colorado",20210203,2,2,2,1368,12,7
"6000","Connecticut",20210203,2,3,2,482,24,7
"6800","Washington DC",20210203,1,2,1,286,22,7
"7600","Delaware",20210203,2,3,2,61,5,7
"8400","Florida",20210203,1,2,3,6979,197,7
"9200","Georgia",20210203,2,2,3,5198,129,7
"10000","Hawaii",20210203,2,3,3,68,4,7
"10800","Iowa",20210203,1,2,1,476,7,7
"11600","Idaho",20210203,1,2,1,3346,84,7
"12400","Illinois",20210203,2,2,2,1427,37,7
"13200","Indiana",20210203,2,2,1,1034,56,7
"14000","Kansas",20210203,2,2,1,2132,86,7
"14800","Kentucky",20210203,2,2,1,1831,39,7
"15600","Louisiana",20210203,2,3,2,2041,53,7
"16400","Massachusetts",20210203,2,3,1,273,9,7
"17200","Maryland",20210203,2,2,2,943,32,7
"18000","Maine",20210203,1,1,2,2455,56,7
"18800","Michigan",20210203,2,3,1,1661,34,7
"19600","Minnesota",20210203,2,2,2,634,24,7
"20400","Missouri",20210203,1,2,3,791,26,7
"21200","Mississippi",20210203,2,2,2,1496,81,7
"22000","Montana",20210203,2,2,3,430,54,7
"22800","North Carolina",20210203,2,3,3,575,6,7
"23600","North Dakota",20210203,1,1,1,810,48,7
"24400","Nebraska",20210203,1,1,2,337,10,7
"25200","New Hampshire",20210203,2,2,2,2311,109,7
"26000","New Jersey",20210203,2,2,2,670,28,7
"26800","New Mexico",20210203,2,3,2,7154,163,7
"27600","Nevada",20210203,2,2,1,10693,148,7
"28400","New York",20210203,2,3,2,138,0,7
"29200","Ohio",20210203,2,2,3,3991,92,7
"30000","Oklahoma",20210203,2,2,2,2119,52,7
"30800","Oregon",20210203,2,3,2,627,10,7
"31600","Pennsylvania",20210203,2,2,2,3131,144,7
"32400","Rhode Island",20210203,1,3,2,513,12,7
"33200","South Carolina",20210203,2,2,2,2890,76,7
"34000","South Dakota",20210203,2,1,1,208,3,7
"34800","Tennessee",20210203,2,3,2,1860,133,7
"35600","Texas",20210203,2,3,2,17964,443,7
"36400","Utah",20210203,2,1,1,1591,12,7
"37200","Virginia",20210203,2,2,3,133,3,7
"38000","Vermont",20210203,2,3,2,2959,58,7
"38800","Washington",20210203,2,3,2,1535,64,7
"39600","Wisconsin",20210203,2,2,2,535,27,7
"40400","West Virginia",20210203,2,1,2,1539,15,7
"41200","Wyoming",20210203,1,2,1,160,0,7
